"ANO";"AUTO";"BICICLETA";"BOLETIM";"CAMINHAO";"CARROCA";"CONSORCIO";"CONT_ACID";"CONT_VIT";"CORREDOR";"DIA";"DIA_SEM";"FATAIS";"FERIDOS";"FERIDOS_GR";"FONTE";"FX_HORA";"ID";"LATITUDE";"LOCAL";"LOCAL_VIA";"LOG1";"LOG2";"LONGITUDE";"LOTACAO";"MES";"MORTE_POST";"MORTES";"MOTO";"NOITE_DIA";"ONIBUS_INT";"ONIBUS_MET";"ONIBUS_URB";"OUTRO";"PREDIAL1";"QUEDA_ARR";"REGIAO";"TAXI";"TEMPO";"TIPO_ACID";"UPS"
2013;1;0;"249615";0;0;"";1;0;0;1;"TERCA-FEIRA";0;"0";0;"EPTC";22;"558914";-30 037598;"Logradouro";"480 R GEN LIMA E SILVA";"R GEN LIMA E SILVA";"";-51 222311;"0";1;0;0;1;"NOITE";"0";0;"0";0;480;0;"CENTRO";"0";"NUBLADO";"CHOQUE";1
2013;0;0;"913";1;0;"";1;1;0;2;"QUARTA-FEIRA";0;"2";0;"DEPTRAN";3;"558767";-30 036388;"Logradouro";"517 AV JOAO PESSOA";"AV JOAO PESSOA";"";-51 220035;"0";1;0;0;0;"NOITE";"0";0;"0";0;517;0;"CENTRO";"1";"BOM";"COLISAO";5
2013;2;0;"250253";0;0;"";1;0;0;2;"QUARTA-FEIRA";0;"0";0;"EPTC";12;"558935";-30 031556;"Cruzamento";"R SARMENTO LEITE & TUN NS DA CONCEICAO-AC RUA SARMENTO LEITE";"R SARMENTO LEITE";"TUN NS DA CONCEICAO-AC RUA SARMENTO LEITE";-51 219973;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;2;0;"250248";0;0;"";1;0;0;2;"QUARTA-FEIRA";0;"0";0;"EPTC";15;"558934";-30 031166;"Logradouro";"113 R PROF ANNES DIAS";"R PROF ANNES DIAS";"";-51 223429;"0";1;0;0;0;"DIA";"0";0;"0";0;113;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;2;0;"250274";0;0;"";1;0;0;3;"QUINTA-FEIRA";0;"0";0;"EPTC";15;"558976";-30 033429;"Logradouro";"174 PCA MARECHAL DEODORO";"PCA MARECHAL DEODORO";"";-51 22958;"0";1;0;0;0;"DIA";"0";0;"0";0;174;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;2;0;"236272";0;0;"";1;0;0;3;"QUINTA-FEIRA";0;"0";0;"EPTC";15;"558978";-30 024149;"Logradouro";"602 AV JULIO DE CASTILHOS";"AV JULIO DE CASTILHOS";"";-51 221145;"0";1;0;0;0;"DIA";"0";0;"0";0;602;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"242860";0;0;"CARRIS";1;0;0;3;"QUINTA-FEIRA";0;"0";0;"EPTC";17;"558977";-30 028042;"Logradouro";"396 R PINTO BANDEIRA";"R PINTO BANDEIRA";"";-51 222317;"0";1;0;0;0;"DIA";"0";0;"1";0;396;0;"CENTRO";"0";"BOM";"COLISAO";1
2013;1;0;"5813";0;0;"";1;1;0;4;"SEXTA-FEIRA";0;"1";0;"DEPTRAN";8;"558993";-30 034355;"Logradouro";"110 R ENG LUIZ ENGLERT";"R ENG LUIZ ENGLERT";"";-51 219415;"0";1;0;0;1;"DIA";"0";0;"0";0;110;0;"CENTRO";"0";"BOM";"COLISAO";5
2013;1;0;"12613";0;0;"";1;0;0;4;"SEXTA-FEIRA";0;"0";0;"DEPTRAN";15;"559070";-30 028685;"Logradouro";"486 R PINTO BANDEIRA";"R PINTO BANDEIRA";"";-51 222271;"0";1;0;0;1;"DIA";"0";0;"0";0;486;0;"CENTRO";"0";"BOM";"CHOQUE";1
2013;3;0;"257946";0;0;"";1;0;0;5;"SABADO";0;"0";0;"EPTC";5;"559053";-30 035043;"Logradouro";"851 R CEL FERNANDO MACHADO";"R CEL FERNANDO MACHADO";"";-51 228936;"0";1;0;0;0;"NOITE";"0";0;"0";0;851;0;"CENTRO";"0";"BOM";"CAPOTAGEM";1
2013;0;0;"185113";0;0;"";1;1;0;5;"SABADO";0;"1";0;"DEPTRAN";8;"562759";-30 028718;"Logradouro";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"";-51 219223;"0";1;0;0;1;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"BOM";"QUEDA";5
2013;1;0;"249620";0;0;"";1;0;0;5;"SABADO";0;"0";0;"EPTC";11;"559111";-30 02444;"Cruzamento";"AV MAUA & R CHAVES BARCELOS";"AV MAUA";"R CHAVES BARCELOS";-51 223518;"0";1;0;0;0;"DIA";"0";1;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;0;0;"249730";1;0;"";1;0;0;5;"SABADO";0;"0";0;"EPTC";12;"559110";-30 033112;"Logradouro";"426 R SARMENTO LEITE";"R SARMENTO LEITE";"";-51 220934;"0";1;0;0;0;"DIA";"0";0;"0";0;426;0;"CENTRO";"0";"BOM";"CHOQUE";1
2013;0;0;"8813";0;0;"";1;1;0;5;"SABADO";0;"1";0;"DEPTRAN";12;"559010";-30 027158;"Logradouro";"188 R VOLUNTARIOS DA PATRIA";"R VOLUNTARIOS DA PATRIA";"";-51 224637;"0";1;0;0;0;"DIA";"0";1;"0";0;188;0;"CENTRO";"0";"BOM";"ATROPELAMENTO";5
2013;1;0;"10213";0;0;"";1;1;0;6;"DOMINGO";0;"1";0;"DEPTRAN";16;"559021";-30 025717;"Logradouro";"265 AV JULIO DE CASTILHOS";"AV JULIO DE CASTILHOS";"";-51 224247;"0";1;0;0;0;"DIA";"0";0;"0";0;265;0;"CENTRO";"0";"BOM";"ATROPELAMENTO";5
2013;1;0;"11113";0;0;"";1;1;0;7;"SEGUNDA-FEIRA";0;"2";0;"DEPTRAN";7;"559058";-30 023291;"Logradouro";"2011 AV MAUA";"AV MAUA";"";-51 221178;"0";1;0;0;1;"DIA";"0";0;"0";0;2011;0;"CENTRO";"0";"BOM";"ABALROAMENTO";5
2013;1;0;"13413";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"DEPTRAN";7;"559076";-30 028718;"Logradouro";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"TUN NS DA CONCEICAO-GALERIA INFERIOR";"";-51 219223;"0";1;0;0;0;"DIA";"1";0;"0";0;0;0;"CENTRO";"0";"BOM";"ABALROAMENTO";1
2013;1;0;"236179";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";9;"559147";-30 028422;"Logradouro";"1100 R SIQUEIRA CAMPOS";"R SIQUEIRA CAMPOS";"";-51 230652;"0";1;0;0;0;"DIA";"0";0;"0";0;1100;0;"CENTRO";"1";"NUBLADO";"COLISAO";1
2013;0;0;"249621";1;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";10;"559149";-30 023004;"Logradouro";"100 AV PRESIDENTE CASTELO BRANCO";"AV PRESIDENTE CASTELO BRANCO";"";-51 220384;"0";1;0;0;0;"DIA";"0";0;"0";0;100;0;"CENTRO";"1";"BOM";"ABALROAMENTO";1
2013;2;0;"249578";0;0;"";1;0;0;7;"SEGUNDA-FEIRA";0;"0";0;"EPTC";10;"559148";-30 032552;"Cruzamento";"R DOS ANDRADAS & R GEN PORTINHO";"R DOS ANDRADAS";"R GEN PORTINHO";-51 237307;"0";1;0;0;0;"DIA";"0";0;"0";0;0;0;"CENTRO";"0";"NUBLADO";"ABALROAMENTO";1
